Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
A,"Agilent Technologies, Inc.",97.37,$30.07B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a
AA,Alcoa Corporation,14.64,$2.72B,2016,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa
AAN,"Aaron&#39;s,  Inc.",58.46,$3.93B,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
AAP,Advance Auto Parts Inc,158.66,$10.96B,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap
AAT,"American Assets Trust, Inc.",27.16,$1.63B,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat
AB,AllianceBernstein Holding L.P.,29.07,$2.8B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab
ABB,ABB Ltd,26.14,$55.64B,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABBV,AbbVie Inc.,95.07,$167.78B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ABC,AmerisourceBergen Corporation (Holding Co),103.75,$21.18B,n/a,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/abc
ABEV,Ambev S.A.,2.45,$38.55B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev
ABG,Asbury Automotive Group Inc,108.55,$2.09B,2002,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/abg
ABM,ABM Industries Incorporated,37.84,$2.52B,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
ABR,Arbor Realty Trust,11.33,$1.27B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,25.45,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,25.18,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,25.6899,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^c
ABT,Abbott Laboratories,99.99,$177.04B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt
AC,"Associated Capital Group, Inc.",37.89,$847.29M,2015,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ac
ACA,"Arcosa, Inc.",45.12,$2.18B,2018,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/aca
ACB,Aurora Cannabis Inc.,10.69,$1.2B,2018,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/acb
ACC,American Campus Communities Inc,33.89,$4.66B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acc
ACCO,Acco Brands Corporation,7.02,$663.12M,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco
ACEL,"Accel Entertainment, Inc.",10.17,$837.48M,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
ACH,Aluminum Corporation of China Limited,6.53,$4.45B,2001,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/ach
ACI,"Albertsons Companies, Inc.",14.85,$7.11B,2020,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/aci
ACM,AECOM,38.72,$6.21B,2007,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm
ACN,Accenture plc,230.25,$146.62B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn
ACND.U,Ascendant Digital Acquisition Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/acnd.u
ACP,Aberdeen Income Credit Strategies Fund,10.5833,$184.49M,2011,n/a,n/a,https://old.nasdaq.com/symbol/acp
ACRE,Ares Commercial Real Estate Corporation,9.92,$331.74M,2012,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acre
ACV,AllianzGI Diversified Income & Convertible Fund,25.86,$267.75M,2015,n/a,n/a,https://old.nasdaq.com/symbol/acv
ADC,Agree Realty Corporation,66.76,$3.6B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/adc
ADCT,ADC Therapeutics SA,39.53,$2.8B,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adct
ADM,Archer-Daniels-Midland Company,44.59,$24.78B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/adm
ADNT,Adient plc,18.24,$1.71B,2016,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt
ADS,Alliance Data Systems Corporation,47.84,$2.28B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ads
ADSW,"Advanced Disposal Services, Inc.",30.2,$2.74B,2016,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/adsw
ADT,ADT Inc.,11.79,$9.08B,2018,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt
ADX,"Adams Diversified Equity Fund, Inc.",16.26,$1.77B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/adx
AEB,Aegon NV,24.15,n/a,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeb
AEE,Ameren Corporation,81.27,$20.08B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/aee
AEFC,Aegon Funding Company LLC,25.25,n/a,2019,Finance,Life Insurance,https://old.nasdaq.com/symbol/aefc
AEG,Aegon NV,2.91,$5.97B,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeg
AEL,American Equity Investment Life Holding Company,25.37,$2.33B,2003,Finance,Life Insurance,https://old.nasdaq.com/symbol/ael
AEL^A,American Equity Investment Life Holding Company,23.1,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ael^a
AEL^B,American Equity Investment Life Holding Company,25.05,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ael^b
AEM,Agnico Eagle Mines Limited,79.05,$19.1B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem
AEO,"American Eagle Outfitters, Inc.",11.68,$1.93B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",82.95,$41.16B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aep
AEP^B,"American Electric Power Company, Inc.",50.24,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aep^b
AER,Aercap Holdings N.V.,31.7,$4.11B,2006,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer
